"Method","Endpoint","File path","Purpose","Request inputs","Response outputs","Auth required","Authorization model","Validation","Rate limiting","Errors","Security risks","Recommendations"
"QUERY","/api/trpc/pulse.masterData","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.seedDefaults","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.createSubmissionLink","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/pulse.listSubmissionLinks","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.revokeSubmissionLink","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.regenerateSubmissionLink","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/pulse.getSubmissionReview","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.approveSubmission","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.requestSubmissionRevision","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.rejectSubmission","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/pulse.getSubmissionByToken","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","No","publicProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Public surface requires scope controls","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.saveSubmissionDraft","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","No","publicProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Public surface requires scope controls","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.submitSubmissionFinal","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","No","publicProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Public surface requires scope controls","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/pulse.dashboard","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.createTrack","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.updateTrack","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.createGoal","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.updateGoal","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.linkGoalMetrics","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.createEntity","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.updateEntity","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
